property_type,society,price,price_per_sqft,sector,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features
flat,m3m skycity,3.5,17039.0,Sector 65,2054.0,Carpet area: 2054 (190.82 sq.m.),3,3,3,"pooja room,study room,servant room",15,East,Within 3 months,"['Sector 55 Metro Station', 'Eros City Square', 'DPS International Edge', 'Narayana Junior College', 'CK Birla Hospital', 'Indira Gandhi Intl Airport', 'Splendor Trade Tower', 'DoubleTree by Hilton Hotel', 'SkyJumper Trampoline Park']","['6 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '11 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
flat,signature global city 37d ph 2,1.36,8846.0,Sector 37D,1537.0,Built Up area: 1535 (142.61 sq.m.),3,3,3,"pooja room,others",1,North-East,Oct 2025,"['Dwarka Expressway', 'Pataudi Road', 'Euro International School', 'Suncity School', 'Green Field School', 'Narayana E Techno', 'Alpine Convent School', 'Little E Step –Pre School', 'Medanta-The Medicity', 'Park Hospital', 'SGT Hospital 1', 'Sheetla Mata Mandir']",[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
flat,experion the heartsong,1.02,7950.0,Sector 108,1283.0,Built Up area: 1283 (119.19 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,study room,4,NA,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']","['1 Bed', '3 Fan', '1 Sofa', '1 Exhaust Fan', '10 Light', '1 Curtains', '2 AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
flat,breez global heights,0.4,6694.0,Sohna,598.0,Super Built up area 950(88.26 sq.m.)Carpet area: 597.53 sq.ft. (55.51 sq.m.),2,2,2,,7,NA,1 to 5 Year Old,"['Raheja Mall', 'Golf Course Extension Road', 'GD Goenka Public School', 'DPG Institute of Technology', 'Polaris Hospital', 'Indira Gandhi International Airport', 'JMD Megapolis Business Center', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park', 'DLF Golf and Country Club']",[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
flat,conscient elevate,3.9,16993.0,Sector 59,2295.0,Built Up area: 2295 (213.21 sq.m.),3,1,0,,0,NA,undefined,"['Rapid Metro Station Sector 55', 'Paras Trinity Mall Sector 63', 'Golf Course Road', 'Mehrauli-Gurgaon Road', 'MG Road', 'DPS International School Sector 50', 'Gurugram University Sector 51', 'W Pratiksha Hospital Sector 56', 'Indira Gandhi International Airport', 'Gurugram Railway Station', 'International Tech Park Gurgaon', 'Grand Hyatt Gurgaon', 'SkyJumper Trampoline Park Gurgaon', 'ZEN Golf Range & Academy', 'PVR Drive In Theatre']",,
flat,smart world orchard,2.41,14785.0,Sector 61,1630.0,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3,3,3,,2,East,Within 3 months,"['Sector 55-56 Metro station', 'Bestech Central Square Mall', 'Golf Course Ext Road', 'Badshahpur Sohna Rd Hwy', 'ORCHIDS The International School', 'Sushant University', 'Marengo Asia Hospitals', 'Indira Gandhi Intl Airport', 'Gurgaon Railway Station', 'Emaar Digital Greens Tower A', 'Grand Hyatt Gurgaon', ""Oyster's Water Park"", 'TERI Golf Course', 'Tau DeviLal Sports Complex']","['1 Exhaust Fan', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
flat,shapoorji pallonji joyville,1.1,12022.0,Sector 102,915.0,Built Up area: 915 (85.01 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,1,,7,NA,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
flat,central park flower valley,2.5,13270.0,Sector-33 Sohna,1884.0,Carpet area: 1884 (175.03 sq.m.),3,3,2,,1,NA,undefined,"['Airia Mall', 'NH 248A', 'NE 4, Haryana', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Lady Florence Convent School Sohna', 'Vardaan Hospital & Trauma Centre', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Country Inn & Suites By Radisson', 'Tau Devilal Stadium Sohna']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",
flat,m3m heights,2.44,13300.0,Sector 65,1835.0,Super Built up area 1828(169.83 sq.m.),3,3,2,,7,NA,May 2024,"['Rapid Metro Sector 56', 'M3m 65th Avenue Mall', 'Golf Course Extension Road', 'Gurgaon - Delhi Expy', 'DPS International School', 'DPG Institute of Technology', 'Park Hospital', 'Indira Gandhi International Airport', 'Lemon Tree Hotel', 'SkyJumper Trampoline Park', 'PVR Drive in Theatre']",[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']"
flat,corona gracieux,1.05,5949.0,Sector 76,1765.0,Super Built up area 1765(163.97 sq.m.),3,3,3+,,7,North-East,1 to 5 Year Old,"['Entertainland Mall', 'Delhi Ajmer Expressway', 'Kunskapsskolan School', 'Suzuki Motorcycle India Office']","['4 Wardrobe', '6 Fan', '1 Exhaust Fan', '2 Geyser', '20 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
flat,dlf city,2.02,8080.0,Shankar Vihar,2500.0,Super Built up area 2500(232.26 sq.m.),4,3,1,,2,NA,0 to 1 Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Dr. Hitesh Dawar', 'Bhardwaj Hospital', 'R K Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Shree Krishna Hospital Gurgaon', 'Chirag Hospital Pvt. Ltd', 'Sneh Hospital Gurgaon', 'Kr Dental Hub', 'Jiya Clinic', 'Esic Hospital Gurugram', 'Dr. Mittal Clinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Dr. Sindhu Clinic', ""Dr. Anurag's Child Care Clinic"", 'Dr. Ashok Jain', 'Yashroop Medical Centre', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Taneja Hospital', 'Aryan Hospital', 'D.R. Rajnis Gupta Clinic', 'Geeta Nursing Home Gurgaon', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Basai dhankot railway station']",[],
flat,mvn athens,0.24,7056.0,Sohna,340.0,Carpet area: 340.09 (31.6 sq.m.),1,1,1,,12,West,1 to 5 Year Old,"['SBI ATM', 'Axis bank ATM', 'UCO bank ATM', 'COrporation bank ATM', 'Canara Bank ATM', 'Royal Kitchen', 'The Roadside Cafe', 'Lazeez Restaurant  Sohna', 'Pasta Cruize', 'Sanuja Food Palace']","['2 Fan', '1 Dining Table', '1 Geyser', '3 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '1 Wardrobe', '1 Sofa', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting']"
flat,silverglades hightown residences,4.2,19767.0,Sushant Lok Phase 1,2125.0,Super Built up area 2150(199.74 sq.m.),3,4,2,,7,East,Dec 2024,"['Iffco Chowk Metro Station', 'Galleria Market', 'Mehrauli-Gurgaon Rd', 'Shiv Nadar School', 'Gurugram University', 'Fortis Memorial Research Institute', 'Indira Gandhi International Airport', 'Duke Horse Riding Club', 'The Westin Hotel', 'Appu Ghar Water Park', 'DLF Golf and Country Club', 'Kingdom of Dreams', 'PVR Drive in Theatre', 'Surajgarh Gurgaon']",[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
flat,signature global city 63a,1.4,11336.0,Sector 63A,1235.0,Carpet area: 1235 (114.74 sq.m.),2,2,2,others,3,East,Jul 2024,"['Sector 54 Chowk Metro Station', 'Paras Trinity', 'Golf Course Ext Road', 'The Shriram Millennium School', 'KIIT College of Engineering', 'Park Hospital', 'Indira Gandhi International Airport', 'Bhondsi Nature Park', 'Duke Horse Riding Club', 'Capital Cyberscape', 'DoubleTree by Hilton Hotel', 'Fun N Food Water Park', 'Kingdom of Dreams']",[],
flat,signature the roselia,0.45,7908.0,Sector 95A,569.0,Carpet area: 569 (52.86 sq.m.),2,2,2,,2,East,0 to 1 Year Old,"['Newtown Square Mall', 'Pataudi Road', 'Dwarka Expressway', 'NH-48', 'Yaduvanshi Shiksha Niketan', 'Gurugram University Sector 87', 'Aarvy Healthcare', 'Indira Gandhi International Airport', 'IMT Manesar', 'Holiday Inn Sector 90', 'National Tennis Academy', 'CNG Petrol Pump']","['4 Fan', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 Curtains', '1 Modular Kitchen', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park']"
flat,smart world gems,1.0,9007.0,Sector 89,1110.0,Carpet area: 1110 (103.12 sq.m.),2,2,3,"study room,others",3,NA,0 to 1 Year Old,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']",[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']"
flat,ats triumph,2.0,8733.0,Sector 104,2290.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,servant room,4,NA,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall', 'Dhanwapur Road', 'Dwarka Expressway', 'Govt. PG College', 'Delhi Public School', 'The NorthCap University', 'Shree Krishna Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot', 'The Executive Centre', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']",[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']"
flat,silverglades the melia,0.75,5555.0,Sohna,1350.0,Built Up area: 1350 (125.42 sq.m.),2,2,2,,4,NA,5 to 10 Year Old,"['Global City Centre Mall', 'Sohna Road', 'Western Peripheral Expressway', 'Shambhu Dayal High School', 'GD Goenka University', 'Vardaan Hospital and Trauma Centre', 'Sohna Bus Stand', 'Ascendas OneHub Gurgaon']",[],
flat,vatika sovereign park,3.25,9672.0,Sector 99,3360.0,Super Built up area 3360(312.15 sq.m.),4,4,3+,servant room,2,NA,Within 3 months,"['The Esplanade Mall', 'Dwarka Expressway', 'KMP Expressway', 'Imperial Heritage School', 'SGT University', 'Vibrant Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Quality Inn Gurgaon', 'SkyJumper Trampoline Park']",,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
flat,eldeco accolade,1.1,7549.0,Sohna,1457.0,Super Built up area 1457(135.36 sq.m.),2,2,3+,"study room,others",17,NA,1 to 5 Year Old,"['Global City Centre', 'Sohna Road', 'Damdama More', 'Western Peripheral Expressway', 'GD Goenka World School', 'K.R. Mangalam University', 'Civil Hospital']","['1 Water Purifier', '1 Exhaust Fan', '2 Geyser', '1 Chimney', '1 Curtains', '1 Modular Kitchen', '3 Wardrobe', '1 Microwave', '1 Washing Machine', 'No AC', 'No Bed', 'No Dining Table', 'No Fan', 'No Light', 'No Fridge', 'No Sofa', 'No Stove', 'No TV']",['Visitor Parking']
